run_id,CCEI,Passed_GARP,Alpha,Rho,R_squared
1,0.7998046875,False,,,
2,0.7998046875,False,,,
3,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
4,0.7998046875,False,,,
5,0.7998046875,False,,,
6,0.533203125,False,,,
7,0.7998046875,False,,,
8,0.7998046875,False,,,
9,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
10,0.533203125,False,,,
11,0.7998046875,False,,,
12,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
13,0.7998046875,False,,,
14,0.7998046875,False,,,
15,0.7998046875,False,,,
16,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
17,0.7998046875,False,,,
18,0.7998046875,False,,,
19,0.7998046875,False,,,
20,0.7998046875,False,,,
21,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
22,1.0,True,0.5000381660622711,0.9580428210543659,0.9999953351681603
23,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
24,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
25,0.7998046875,False,,,
26,0.7998046875,False,,,
27,0.7998046875,False,,,
28,0.7998046875,False,,,
29,0.533203125,False,,,
30,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
31,0.7998046875,False,,,
32,0.7998046875,False,,,
33,0.7998046875,False,,,
34,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
35,1.0,True,0.5000381660622711,0.9580428210543659,0.9999953351681603
36,1.0,True,0.5000381660622711,0.9580428210543659,0.9999953351681603
37,0.8271484375,False,,,
38,1.0,True,0.4857172392528123,0.9459757590652804,0.891706885940152
39,0.7998046875,False,,,
40,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
41,0.7998046875,False,,,
42,0.7998046875,False,,,
43,0.7998046875,False,,,
44,0.7998046875,False,,,
45,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
46,1.0,True,0.4857172392528123,0.9459757590652804,0.891706885940152
47,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
48,0.7998046875,False,,,
49,0.7998046875,False,,,
50,0.8271484375,False,,,
51,0.7998046875,False,,,
52,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
53,1.0,True,0.4857172392528123,0.9459757590652804,0.891706885940152
54,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
55,0.7998046875,False,,,
56,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
57,0.533203125,False,,,
58,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
59,0.7998046875,False,,,
60,0.7998046875,False,,,
61,0.7998046875,False,,,
62,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
63,0.7998046875,False,,,
64,1.0,True,0.5000381660622711,0.9580428210543659,0.9999953351681603
65,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
66,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
67,0.7998046875,False,,,
68,0.7998046875,False,,,
69,1.0,True,0.5198807748127949,0.9454714351206656,0.9555216128609317
70,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
71,0.7998046875,False,,,
72,0.7998046875,False,,,
73,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
74,0.8271484375,False,,,
75,0.7998046875,False,,,
76,0.7998046875,False,,,
77,0.533203125,False,,,
78,0.7998046875,False,,,
79,0.7998046875,False,,,
80,0.7998046875,False,,,
81,0.7998046875,False,,,
82,0.533203125,False,,,
83,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
84,0.7998046875,False,,,
85,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
86,0.7998046875,False,,,
87,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
88,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
89,0.8271484375,False,,,
90,0.7998046875,False,,,
91,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
92,1.0,True,0.5000381660622711,0.9580428210543659,0.9999953351681603
93,0.7998046875,False,,,
94,1.0,True,0.4857172392528123,0.9459757590652804,0.891706885940152
95,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
96,1.0,True,0.5037370913458421,0.9455632024353073,0.9731953530225254
97,0.533203125,False,,,
98,0.7998046875,False,,,
99,1.0,True,0.5000381660622711,0.9580428210543659,0.9999953351681603
100,0.7998046875,False,,,
